miRNA,A1,A2,B1,B2,C1,C2
miR-214-3p,2.116387241,9.482310694,1.890999962,0.663213081,4.462159837,7.123908745
miR-218a-2-3p,9.696901543,1.810259314,5.415136254,3.165335157,3.604052176,1.888915197
miR-412-3p,8.080751286,2.262824143,3.158829481,3.798402189,3.604052176,4.533396474
miR-210-5p,4.040375643,4.525648286,2.707568127,8.862938441,2.948769962,4.911179513
miR-370-5p,5.925884276,4.148510928,3.309249933,2.321245782,2.102363769,5.887119032
miR-216b-5p,0.808075129,5.430777943,8.12270438,4.43146922,5.569898818,2.644481276
let-7c-1-3p,5.6565259,3.620518628,6.317658962,3.798402189,3.604052176,4.155613434
miR-188-5p,4.232774483,5.215270881,3.309249933,3.979278484,6.864861288,3.95772708
miR-298-3p,6.868638593,4.073083457,4.06135219,1.266134063,5.242257711,4.911179513
miR-3552,1.693109793,15.64581264,3.309249933,3.316065403,1.372972258,5.145045205
miR-181a-2-3p,4.210496723,4.716201898,12.01780239,4.398149903,4.55248696,3.936896938
miR-540-5p,1.932353568,4.761769066,5.179695547,6.055423779,4.074145938,6.143080729
miR-20a-3p,2.53966469,4.267039812,5.672999885,5.968917725,6.178375159,5.936590621
miR-150-3p,6.081828599,4.716201898,6.270157767,5.864199871,4.931860873,6.124061903
miR-21-3p,3.636338079,6.3359076,6.317658962,4.43146922,4.586975497,4.911179513
miR-32-3p,4.848450771,4.073083457,4.512613545,0.633067031,6.880463246,6.800094711
miR-770-3p,6.274465704,4.099704918,6.423838105,9.831158606,5.088073661,8.800122567
miR-101a-5p,7.676713721,4.978213114,8.573965735,4.43146922,3.931693283,4.911179513
miR-133b-3p,5.252488336,6.788472428,7.671443026,6.963737346,3.604052176,5.288962553
miR-216a-5p,1.212112693,5.883342771,9.927749798,5.697603283,8.846309887,3.777830395
miR-1306-5p,8.48478885,5.430777943,5.866397608,4.43146922,5.569898818,6.044528632
miR-299a-5p,10.10093911,4.073083457,7.671443026,2.532268126,3.276411069,8.311226869
miR-3074,9.292863979,9.5038614,4.512613545,5.697603283,4.586975497,4.533396474
miR-1-3p,7.272676157,8.146166914,8.12270438,6.330670315,7.208104353,3.777830395
miR-764-5p,2.82826295,14.48207451,8.12270438,3.165335157,3.931693283,8.689009908
miR-666-5p,11.11103302,4.978213114,6.949424859,5.570989877,9.370535658,6.233420152
miR-351-3p,6.349161724,11.85288837,5.672999885,4.642491564,6.864861288,7.915454161
miR-128-1-5p,11.00521366,6.163501951,6.145749875,5.305704645,8.924319675,5.145045205
miR-6329,6.570002132,7.359097647,8.201184616,6.660966157,6.58131267,5.059007659
miR-200c-3p,4.656051931,6.163501951,8.509499827,8.621770048,8.237833546,8.311226869
miR-449a-5p,4.040375643,10.86155589,7.671443026,6.330670315,5.569898818,8.311226869
miR-342-5p,11.71708936,6.788472428,3.610090836,10.1290725,4.586975497,8.689009908
let-7a-2-3p,4.040375643,11.76668554,9.025227089,7.596804378,6.552822139,6.422311671
miR-672-3p,8.042271518,8.534079624,8.982249817,9.948196209,5.835132095,7.915454161
miR-6325,3.091765709,6.92620955,7.76954332,12.11084756,11.90904197,3.6135769
miR-205,6.183531419,4.761769066,4.748054251,10.8997628,10.34206277,7.949869179
miR-296-5p,8.465548966,7.11173302,4.727499904,12.60104853,9.610805803,7.519681453
miR-344i,9.292863979,8.146166914,4.963874899,5.064536252,7.208104353,10.95570815
miR-6318,13.33323962,5.883342771,7.220181671,4.43146922,8.191027673,7.55566079
