Name,A1,A2,B1,B2,C1,C2
miR-214-3p,5,20,4,1,13,18
miR-218a-2-3p,24,4,12,5,11,5
miR-412-3p,20,5,7,6,11,12
miR-210-5p,10,10,6,14,9,13
miR-370-5p,16,10,8,4,7,17
miR-216b-5p,2,12,18,7,17,7
let-7c-1-3p,14,8,14,6,11,11
miR-188-5p,10,11,7,6,20,10
miR-298-3p,17,9,9,2,16,13
miR-3552,4,33,7,5,4,13
miR-181a-2-3p,9,9,23,6,12,9
miR-540-5p,5,11,12,10,13,17
miR-20a-3p,6,9,12,9,18,15
miR-150-3p,13,9,12,8,13,14
miR-21-3p,9,14,14,7,14,13
miR-32-3p,12,9,10,1,21,18
miR-770-3p,12,7,11,12,12,18
miR-101a-5p,19,11,19,7,12,13
miR-133b-3p,13,15,17,11,11,14
miR-216a-5p,3,13,22,9,27,10
miR-1306-5p,21,12,13,7,17,16
miR-299a-5p,25,9,17,4,10,22
miR-3074,23,21,10,9,14,12
miR-1-3p,18,18,18,10,22,10
miR-764-5p,7,32,18,5,12,23
miR-666-5p,25,10,14,8,26,15
miR-351-3p,15,25,12,7,20,20
miR-128-1-5p,26,13,13,8,26,13
miR-6329,17,17,19,11,21,14
miR-200c-3p,11,13,18,13,24,21
miR-449a-5p,10,24,17,10,17,22
miR-342-5p,29,15,8,16,14,23
let-7a-2-3p,10,26,20,12,20,17
miR-672-3p,19,18,19,15,17,20
miR-6325,8,16,18,20,38,10
miR-205,16,11,11,18,33,22
miR-296-5p,20,15,10,19,28,19
miR-344i,23,18,11,8,22,29
miR-6318,33,13,16,7,25,20
miR-195-3p,16,20,15,13,25,26
miR-218a-1-3p,26,21,14,7,28,19
miR-18a-5p,17,23,14,8,27,27
miR-667-5p,28,16,21,18,22,13
miR-141-3p,15,21,27,20,24,17
miR-542-5p,23,22,26,11,25,18
miR-503-3p,30,16,20,14,24,24
miR-383-3p,27,15,25,11,29,22
miR-188-3p,21,9,34,18,30,21
miR-672-5p,18,18,26,21,25,30
miR-664-2-5p,28,18,17,20,33,23
miR-6315,26,24,13,17,36,28
miR-31a-3p,16,28,34,22,22,28
miR-9b-5p,30,22,25,19,32,23
miR-146a-3p,34,21,28,15,28,29
miR-702-5p,22,22,15,24,42,31
miR-499-3p,6,16,27,12,50,51
miR-23b-5p,29,36,25,22,37,21
miR-493-3p,23,26,38,31,26,29
miR-3072,47,23,23,15,35,36
miR-204-3p,16,72,27,10,9,46
miR-200a-3p,39,25,41,28,28,23
miR-328b-3p,40,11,13,48,37,35
miR-1843-3p,45,24,27,27,29,36
miR-223-3p,35,41,30,27,29,36
miR-27b-5p,33,36,28,20,49,33
miR-135a-3p,21,29,28,37,37,51
miR-99a-3p,37,35,42,19,44,30
miR-19a-3p,38,21,36,26,32,58
miR-25-5p,44,25,35,32,40,35
miR-1224,34,26,28,19,56,51
miR-344b-5p,55,16,27,29,46,49
miR-146b-3p,42,36,36,31,42,52
miR-34b-5p,14,97,48,3,15,67
miR-6324,32,40,31,26,70,45
miR-671,43,45,42,24,48,44
miR-191a-3p,49,35,43,21,53,48
miR-412-5p,41,37,38,17,59,57
miR-935,56,30,34,40,40,52
miR-378b,41,60,39,27,37,48
miR-488-5p,33,41,38,37,58,49
miR-551b-3p,50,50,36,23,55,42
miR-3102,64,35,35,14,55,57
miR-879-3p,47,53,43,21,49,49
miR-190a-3p,41,27,32,41,62,60
miR-211-5p,33,91,38,11,38,55
miR-98-3p,36,41,44,35,55,61
miR-299a-3p,59,32,38,35,48,62
miR-543-5p,71,32,32,32,63,46
miR-30b-3p,34,59,52,28,64,42
miR-30d-3p,38,58,50,20,64,63
miR-17-1-3p,46,65,36,32,60,55
miR-3547,63,27,33,24,56,96
miR-181b-1-3p,39,43,52,31,66,73
miR-500-3p,53,63,47,32,63,49
miR-33-3p,32,67,47,34,70,58
miR-144-5p,60,37,53,25,76,65
miR-125a-3p,67,50,53,23,66,66
miR-93-3p,74,60,50,41,62,42
miR-337-3p,73,54,57,34,68,52
miR-301a-5p,60,48,52,41,80,59
miR-134-3p,64,62,42,40,68,65
miR-540-3p,85,45,55,34,57,66
miR-1839-3p,45,47,47,44,81,81
miR-217-5p,27,69,66,35,99,51
miR-1912-3p,9,197,48,7,8,88
miR-6215,56,115,89,90,8,7
miR-206-3p,46,68,47,52,97,59
miR-339-3p,48,93,62,32,63,78
miR-666-3p,68,48,57,36,82,85
miR-493-5p,76,50,68,51,69,63
miR-3559-5p,58,54,68,50,81,68
miR-15b-3p,57,80,71,35,77,62
miR-30c-1-3p,74,58,64,41,81,67
miR-455-5p,46,126,55,35,56,72
miR-376c-3p,63,54,73,45,71,86
miR-7a-2-3p,99,32,57,23,80,104
let-7f-1-3p,75,60,78,39,78,66
miR-532-3p,78,75,70,34,66,77
miR-362-3p,64,58,80,55,71,88
miR-3577,85,68,69,44,92,71
miR-421-3p,79,66,65,43,94,85
miR-450a-3p,58,70,76,56,106,76
let-7b-3p,72,88,83,36,96,78
miR-29a-5p,94,68,56,69,95,72
miR-3085,119,70,69,28,82,93
miR-182,56,197,65,25,33,91
miR-301a-3p,85,59,84,44,90,108
miR-504,100,103,73,36,98,81
miR-653-5p,114,23,43,50,101,182
miR-541-3p,100,61,72,88,80,117
miR-345-5p,110,114,87,37,82,91
miR-344b-2-3p,112,50,84,51,104,127
miR-138-2-3p,150,99,77,47,74,83
miR-378a-5p,120,124,66,40,114,91
miR-490-5p,98,94,104,69,90,105
miR-199a-5p,52,190,75,36,71,152
miR-668,127,78,82,64,124,102
miR-665,143,73,68,65,112,119
miR-33-5p,59,101,105,64,147,112
miR-350,140,106,91,68,97,93
miR-143-5p,97,99,99,55,130,125
miR-138-1-3p,170,124,127,55,70,69
miR-448-5p,85,256,63,23,58,140
miR-298-5p,145,65,81,59,138,141
miR-877,95,66,70,90,163,155
miR-503-5p,107,142,101,68,149,82
miR-324-3p,151,130,101,53,128,106
miR-431,129,95,97,60,141,148
let-7e-3p,119,119,115,67,131,137
miR-124-5p,130,102,122,81,129,125
miR-322-3p,137,137,118,66,165,98
miR-190b-5p,108,106,130,87,175,123
miR-99b-3p,131,142,117,73,133,145
miR-344b-1-3p,179,80,103,68,181,149
miR-425-3p,148,120,143,87,159,114
miR-203a-3p,96,126,140,88,175,155
miR-148b-5p,131,131,133,90,157,139
let-7a-1-3p,120,124,133,109,141,155
let-7c-2-3p,118,124,137,110,142,151
miR-365-3p,178,112,127,80,149,157
miR-142-3p,134,136,194,72,140,152
miR-154-5p,174,122,159,127,132,138
miR-26b-3p,130,158,132,108,191,137
miR-592,157,129,118,79,196,180
miR-154-3p,175,150,119,81,179,171
miR-702-3p,188,123,150,88,177,149
miR-32-5p,90,136,190,89,212,173
miR-494-3p,227,126,113,116,148,160
miR-375-3p,130,235,140,75,176,166
miR-376a-3p,190,112,192,92,181,203
miR-29b-2-5p,153,147,177,143,178,176
miR-34c-3p,89,455,157,27,71,189
miR-323-5p,188,100,107,134,261,204
miR-6331,207,111,138,114,254,185
miR-490-3p,163,179,168,126,182,205
miR-1193-3p,263,156,117,103,194,200
miR-374-3p,145,134,162,101,257,236
miR-128-2-5p,208,129,130,156,214,219
miR-423-5p,220,186,162,92,216,183
miR-187-3p,286,144,128,179,169,156
miR-30c-2-3p,206,195,158,136,228,141
miR-28-3p,186,199,169,111,233,188
miR-3099,271,111,158,103,229,221
miR-345-3p,197,184,207,129,217,162
miR-381-3p,256,140,148,114,224,218
miR-219-5p,123,150,194,112,308,229
miR-501-3p,173,208,198,166,212,183
miR-455-3p,163,272,168,127,224,197
miR-380-5p,195,137,209,145,240,276
miR-106b-3p,174,213,216,150,240,215
miR-764-3p,167,285,160,92,164,342
miR-485-3p,312,187,174,96,222,236
miR-183-5p,204,372,149,106,208,193
miR-153-5p,261,153,171,184,220,267
miR-451-5p,233,243,266,116,228,176
miR-129-1-3p,280,185,244,177,175,209
miR-22-5p,238,210,243,163,234,226
miR-361-3p,240,219,210,160,241,247
miR-873-5p,224,159,181,182,296,287
miR-324-5p,351,241,189,137,227,210
miR-181c-3p,182,251,259,168,279,261
miR-34b-3p,135,512,240,28,96,395
miR-96-5p,235,418,192,131,196,235
miR-135b-5p,279,188,205,211,231,318
miR-760-3p,332,187,164,105,339,316
miR-7a-1-3p,320,171,236,163,277,284
miR-210-3p,259,313,241,152,278,229
miR-29c-5p,340,185,285,152,251,274
miR-673-5p,238,157,322,196,253,334
miR-130a-3p,303,306,188,156,307,250
miR-17-5p,286,274,270,168,277,272
miR-190a-5p,301,226,200,151,381,288
miR-144-3p,150,237,281,133,529,327
miR-542-3p,215,298,283,144,433,307
miR-674-3p,334,301,238,187,377,258
miR-125b-1-3p,326,321,260,190,370,269
miR-344a-3p,395,237,236,200,300,459
miR-19b-3p,327,243,350,243,223,450
miR-484,325,347,294,172,429,287
miR-485-5p,353,247,299,223,363,370
miR-770-5p,399,274,309,144,338,410
miR-582-5p,250,263,333,250,411,370
miR-24-1-5p,309,316,345,194,387,331
miR-346,373,283,258,225,398,346
miR-433-5p,238,228,284,236,476,442
miR-142-5p,261,352,326,219,437,373
miR-10b-5p,195,303,558,426,279,296
miR-10a-5p,394,306,440,281,339,331
miR-383-5p,653,295,261,176,434,324
miR-879-5p,293,356,454,164,462,478
miR-499-5p,291,328,390,212,536,452
miR-582-3p,354,320,349,279,498,460
miR-15b-5p,418,415,385,278,512,350
miR-664-3p,672,327,431,211,377,442
miR-28-5p,362,455,377,310,479,578
miR-497-5p,432,494,438,290,497,467
miR-134-5p,483,364,364,286,607,533
let-7i-3p,427,519,450,262,555,436
miR-351-5p,553,456,374,326,597,433
miR-199a-3p,304,688,417,235,489,623
miR-667-3p,688,400,359,276,613,561
